ACEGUA;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0
AGUA SANTA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AGUDO;1;1;0;3;0;0;0;0;6;0;0;1;0;0;1
AJURICABA;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0
ALECRIM;0;0;0;5;2;0;1;0;4;1;0;0;0;0;0
ALEGRETE;1;1;0;70;6;0;9;0;29;3;8;3;0;0;1
ALEGRIA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0
ALPESTRE;0;0;0;4;0;0;0;0;0;4;2;0;0;0;0
ALTO ALEGRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALTO FELIZ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
ALVORADA;5;5;0;124;4;12;124;23;125;5;30;29;0;0;6
AMARAL FERRADOR;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
AMETISTA DO SUL;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0
ANDRE DA ROCHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANTA GORDA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ANTONIO PRADO;0;0;0;5;0;0;0;0;6;0;1;6;0;0;0
ARAMBARE;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
ARARICA;0;0;0;4;0;0;0;0;4;0;2;1;0;0;0
ARATIBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARROIO DO MEIO;0;0;0;18;0;0;0;0;10;1;4;2;0;0;0
ARROIO DO PADRE;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0
ARROIO DO SAL;0;0;0;25;0;1;2;0;10;0;1;2;0;0;0
ARROIO DO TIGRE;0;0;0;11;1;3;0;0;6;0;0;1;0;0;0
ARROIO DOS RATOS;0;0;0;2;0;0;1;0;4;0;5;6;0;0;0
ARROIO GRANDE;0;0;0;11;2;1;0;0;4;2;1;4;0;0;0
ARVOREZINHA;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
AUGUSTO PESTANA;0;0;0;1;0;0;0;0;10;0;0;0;0;0;0
AUREA;0;0;0;2;0;0;0;0;7;0;0;0;0;0;0
BAGE;0;0;0;83;8;2;20;0;50;4;28;16;0;0;0
BALNEARIO PINHAL;0;0;0;9;0;2;2;0;7;0;0;0;0;0;0
BARAO;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0
BARAO DE COTEGIPE;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
BARAO DO TRIUNFO;0;0;0;4;1;0;1;0;0;1;1;0;0;0;0
BARRA DO GUARITA;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0
BARRA DO QUARAI;0;0;0;2;1;0;0;0;3;0;1;0;0;0;0
BARRA DO RIBEIRO;0;0;0;11;0;1;3;0;4;1;0;1;0;0;0
BARRA DO RIO AZUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARRA FUNDA;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0
BARRACAO;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0
BARROS CASSAL;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
BENJAMIN CONSTANT DO SUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
BENTO GONCALVES;5;5;0;85;2;9;12;0;88;8;24;17;0;0;5
BOA VISTA DAS MISSOES;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO BURICA;0;0;0;1;0;0;0;0;4;1;0;0;0;0;0
BOA VISTA DO CADEADO;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
BOA VISTA DO INCRA;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0
BOA VISTA DO SUL;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
BOM JESUS;0;0;0;9;0;0;0;0;2;2;2;4;0;0;0
BOM PRINCIPIO;0;0;0;19;0;2;0;0;9;0;2;0;0;0;0
BOM PROGRESSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOM RETIRO DO SUL;0;0;0;4;0;3;0;0;7;0;1;1;0;0;0
BOQUEIRAO DO LEAO;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0
BOSSOROCA;0;0;0;4;3;1;0;0;1;1;3;1;0;0;0
BOZANO;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
BRAGA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
BROCHIER;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
BUTIA;0;0;0;13;2;0;2;0;3;0;6;3;0;0;0
CACAPAVA DO SUL;0;0;0;31;1;2;3;0;14;3;18;0;0;0;0
CACEQUI;0;0;0;10;2;0;0;0;4;0;1;0;0;0;0
CACHOEIRA DO SUL;0;0;0;50;4;1;2;0;31;7;15;13;0;0;0
CACHOEIRINHA;1;1;0;139;0;6;48;6;96;2;5;12;0;0;1
CACIQUE DOBLE;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0
CAIBATE;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0
CAICARA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAMAQUA;0;0;0;36;2;2;2;2;20;1;9;25;0;0;0
CAMARGO;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
CAMBARA DO SUL;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
CAMPESTRE DA SERRA;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1
CAMPINA DAS MISSOES;0;0;0;3;1;1;0;0;1;0;0;0;0;0;0
CAMPINAS DO SUL;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0
CAMPO BOM;1;1;0;42;0;15;8;1;48;1;7;3;0;0;1
CAMPO NOVO;0;0;0;3;0;0;0;0;2;0;2;0;0;0;0
CAMPOS BORGES;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CANDELARIA;0;0;0;20;4;0;2;0;6;2;4;3;0;0;1
CANDIDO GODOI;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
CANDIOTA;0;0;0;7;5;0;1;0;4;2;1;0;0;0;0
CANELA;1;1;0;45;0;1;3;0;38;2;18;11;0;0;1
CANGUCU;0;0;0;25;2;1;3;0;12;2;0;0;0;0;0
CANOAS;12;12;0;364;0;31;141;18;307;15;54;57;0;0;12
CANUDOS DO VALE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CAPAO BONITO DO SUL;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
CAPAO DA CANOA;2;2;0;64;0;1;8;0;48;0;4;7;0;0;2
CAPAO DO CIPO;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0
CAPAO DO LEAO;0;0;0;13;0;0;0;0;7;0;1;4;0;0;0
CAPELA DE SANTANA;0;0;0;6;1;1;1;0;1;0;0;0;0;0;0
CAPITAO;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
CAPIVARI DO SUL;0;0;0;4;1;0;0;0;3;0;0;0;0;0;0
CARAA;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
CARAZINHO;1;1;0;54;1;10;7;0;58;10;10;7;0;0;1
CARLOS BARBOSA;0;0;0;6;1;0;0;1;14;0;2;1;0;0;0
CARLOS GOMES;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
CASCA;1;1;0;1;1;0;0;0;3;0;1;4;0;0;1
CASEIROS;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1
CATUIPE;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0
CAXIAS DO SUL;7;7;0;329;1;27;83;7;377;17;11;33;0;0;7
CENTENARIO;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0
CERRITO;0;0;0;4;2;0;0;0;3;0;1;1;0;0;0
CERRO BRANCO;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
CERRO GRANDE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CERRO GRANDE DO SUL;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0
CERRO LARGO;0;0;0;5;0;0;0;0;7;1;1;1;0;0;0
CHAPADA;0;0;0;5;0;1;0;0;4;0;0;0;0;0;0
CHARQUEADAS;1;1;0;10;0;0;1;0;11;1;6;26;0;0;1
CHARRUA;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
CHIAPETTA;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0
CHUI;1;1;0;12;1;1;0;0;2;0;0;2;0;0;1
CHUVISCA;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
CIDREIRA;2;2;0;27;0;2;2;0;6;4;2;5;0;0;2
CIRIACO;0;0;0;3;1;1;0;0;6;0;0;0;0;0;0
COLINAS;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
COLORADO;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
CONDOR;0;0;0;11;2;0;0;0;2;2;0;0;0;0;0
CONSTANTINA;0;0;0;5;0;0;0;0;1;0;1;1;0;0;0
COQUEIRO BAIXO;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
COQUEIROS DO SUL;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
CORONEL BARROS;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
CORONEL BICACO;0;0;0;7;0;0;0;0;1;1;0;1;0;0;0
CORONEL PILAR;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
COTIPORA;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
COXILHA;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0
CRISSIUMAL;0;0;0;4;0;1;0;0;3;1;0;0;0;0;0
CRISTAL;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0
CRISTAL DO SUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRUZ ALTA;1;1;0;56;1;3;5;0;51;5;8;9;0;0;1
CRUZALTENSE;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0
CRUZEIRO DO SUL;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0
DAVID CANABARRO;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
DERRUBADAS;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
DEZESSEIS DE NOVEMBRO;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
DILERMANDO DE AGUIAR;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
DOIS IRMAOS;0;0;0;16;0;0;0;0;19;1;9;5;0;0;0
DOIS IRMAOS DAS MISSOES;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
DOIS LAJEADOS;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
DOM FELICIANO;0;0;0;13;5;0;2;0;3;1;0;2;0;0;0
DOM PEDRITO;0;0;0;34;3;1;5;0;11;3;6;3;0;0;0
DOM PEDRO DE ALCANTARA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
