ACEGUA;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
AGUA SANTA;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0
AGUDO;0;0;0;18;0;0;1;0;6;0;0;0;0;0;0
AJURICABA;0;0;0;4;0;0;0;0;2;0;1;0;0;0;0
ALECRIM;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0
ALEGRETE;3;3;0;77;7;1;5;0;50;0;9;8;0;0;3
ALEGRIA;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
ALPESTRE;0;0;0;5;2;0;0;0;1;1;1;0;0;0;0
ALTO ALEGRE;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ALTO FELIZ;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0
ALVORADA;8;9;0;175;0;14;129;20;149;3;28;31;0;0;9
AMARAL FERRADOR;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AMETISTA DO SUL;0;0;0;7;0;1;0;0;1;0;1;0;0;0;0
ANDRE DA ROCHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANTA GORDA;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
ANTONIO PRADO;0;0;0;6;2;1;2;0;7;0;1;1;0;0;0
ARAMBARE;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0
ARARICA;0;0;0;6;1;0;0;0;1;0;1;4;0;0;0
ARATIBA;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0
ARROIO DO MEIO;0;0;0;10;0;0;0;1;11;2;9;3;0;0;0
ARROIO DO PADRE;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
ARROIO DO SAL;0;0;0;46;0;3;0;0;9;0;1;3;0;0;0
ARROIO DO TIGRE;1;1;0;5;1;1;0;0;2;1;0;0;0;0;1
ARROIO DOS RATOS;0;0;0;8;0;0;2;0;6;1;4;3;0;0;0
ARROIO GRANDE;0;0;0;9;2;0;1;0;10;0;1;5;0;0;0
ARVOREZINHA;0;0;0;5;0;1;0;0;0;2;3;0;0;0;0
AUGUSTO PESTANA;0;0;0;2;0;1;0;0;4;0;0;0;0;0;0
AUREA;0;0;0;3;0;0;0;0;1;1;1;0;0;0;0
BAGE;0;0;0;138;11;5;18;0;91;8;13;14;0;0;0
BALNEARIO PINHAL;0;0;0;14;0;0;1;0;10;1;1;1;0;0;0
BARAO;0;0;0;1;0;0;0;0;10;1;0;0;0;0;0
BARAO DE COTEGIPE;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
BARAO DO TRIUNFO;0;0;0;4;1;0;0;0;2;0;0;0;0;0;0
BARRA DO GUARITA;0;0;0;1;1;0;0;0;2;0;0;1;0;0;0
BARRA DO QUARAI;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0
BARRA DO RIBEIRO;0;0;0;11;1;0;0;0;7;2;0;2;0;0;0
BARRA DO RIO AZUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARRA FUNDA;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
BARRACAO;0;0;0;3;1;0;0;0;3;0;2;0;0;0;0
BARROS CASSAL;0;0;0;9;1;0;2;0;0;1;0;0;0;0;0
BENJAMIN CONSTANT DO SUL;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
BENTO GONCALVES;1;1;0;120;0;4;12;1;121;5;29;13;0;0;1
BOA VISTA DAS MISSOES;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO BURICA;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0
BOA VISTA DO CADEADO;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
BOA VISTA DO INCRA;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO SUL;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BOM JESUS;0;0;0;7;1;0;1;0;6;0;3;0;0;0;0
BOM PRINCIPIO;0;0;0;4;0;0;0;0;13;1;6;2;0;0;0
BOM PROGRESSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOM RETIRO DO SUL;0;0;0;5;0;0;1;0;7;1;6;3;0;0;0
BOQUEIRAO DO LEAO;0;0;0;3;0;1;0;0;1;1;0;2;0;0;0
BOSSOROCA;0;0;0;5;0;0;0;0;2;0;3;1;0;0;0
BOZANO;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0
BRAGA;0;0;0;1;0;0;0;0;2;2;0;1;0;0;0
BROCHIER;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0
BUTIA;3;5;0;21;1;0;2;0;8;4;5;10;0;0;5
CACAPAVA DO SUL;0;0;0;21;2;0;4;0;18;2;7;5;0;0;0
CACEQUI;1;1;0;21;8;0;1;0;3;3;1;3;0;0;1
CACHOEIRA DO SUL;0;0;0;72;1;3;8;0;32;2;5;15;0;0;0
CACHOEIRINHA;0;0;0;158;0;7;66;8;136;5;11;15;0;0;0
CACIQUE DOBLE;0;0;0;1;0;0;0;0;0;12;0;0;0;0;0
CAIBATE;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0
CAICARA;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0
CAMAQUA;2;2;0;49;1;2;6;1;36;6;24;10;0;0;2
CAMARGO;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
CAMBARA DO SUL;0;0;0;3;0;0;0;0;3;1;0;1;0;0;0
CAMPESTRE DA SERRA;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0
CAMPINA DAS MISSOES;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
CAMPINAS DO SUL;0;0;0;2;0;0;0;0;2;3;4;1;0;0;0
CAMPO BOM;1;1;0;91;0;13;10;4;65;2;11;6;0;0;1
CAMPO NOVO;0;0;0;15;0;0;0;0;1;3;3;2;0;0;0
CAMPOS BORGES;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0
CANDELARIA;0;0;0;33;7;0;2;0;12;4;13;6;0;0;0
CANDIDO GODOI;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0
CANDIOTA;0;0;0;6;4;1;2;0;4;0;0;1;0;0;0
CANELA;0;0;0;45;0;2;8;0;57;3;17;7;0;0;0
CANGUCU;0;0;0;16;2;1;0;0;15;3;2;0;0;0;0
CANOAS;10;10;0;469;0;51;185;33;372;14;76;79;0;0;11
CANUDOS DO VALE;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
CAPAO BONITO DO SUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CAPAO DA CANOA;0;0;0;88;0;8;14;3;63;0;4;11;0;0;0
CAPAO DO CIPO;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
CAPAO DO LEAO;0;0;0;16;2;0;2;0;7;1;1;0;0;0;0
CAPELA DE SANTANA;0;0;0;3;1;0;0;0;2;0;0;1;0;0;0
CAPITAO;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
CAPIVARI DO SUL;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
CARAA;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
CARAZINHO;3;3;1;61;0;2;21;0;71;6;10;4;1;0;7
CARLOS BARBOSA;0;0;0;11;0;1;0;0;25;1;1;2;0;0;0
