ACEGUA;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0
AGUA SANTA;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0
AGUDO;0;0;0;9;0;0;0;0;4;0;1;1;0;0;0
AJURICABA;0;0;0;5;1;0;0;0;2;1;1;0;0;0;0
ALECRIM;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0
ALEGRETE;1;1;0;74;6;0;10;0;43;4;4;2;0;0;1
ALEGRIA;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
ALPESTRE;0;0;0;9;3;0;0;0;2;2;0;0;0;0;0
ALTO ALEGRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALTO FELIZ;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
ALVORADA;7;7;0;108;3;16;123;17;114;10;16;18;0;0;7
AMARAL FERRADOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMETISTA DO SUL;0;0;0;13;1;0;0;0;4;0;0;0;0;0;0
ANDRE DA ROCHA;0;0;0;3;1;0;0;0;1;0;1;0;0;0;0
ANTA GORDA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ANTONIO PRADO;0;0;0;9;1;2;0;0;12;0;0;0;0;0;0
ARAMBARE;0;0;0;4;2;0;0;0;5;0;1;1;0;0;0
ARARICA;0;0;0;6;0;0;0;0;5;0;5;3;0;0;0
ARATIBA;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ARROIO DO MEIO;0;0;0;9;0;0;0;0;15;0;12;0;0;0;0
ARROIO DO PADRE;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
ARROIO DO SAL;0;0;0;20;0;1;0;0;8;1;0;1;0;0;0
ARROIO DO TIGRE;0;0;0;10;1;0;1;0;9;0;0;0;0;0;0
ARROIO DOS RATOS;0;0;0;16;0;0;0;0;10;2;5;2;0;0;0
ARROIO GRANDE;0;0;0;7;4;0;2;0;1;0;0;2;0;0;0
ARVOREZINHA;0;0;0;11;0;0;0;0;0;1;2;0;0;0;0
AUGUSTO PESTANA;0;0;0;4;0;1;0;1;4;1;0;0;0;0;0
AUREA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAGE;1;1;0;99;2;2;15;0;64;13;18;18;0;0;1
BALNEARIO PINHAL;1;1;0;10;0;0;0;0;11;2;0;1;0;0;1
BARAO;0;0;0;2;0;0;0;0;6;1;0;0;0;0;0
BARAO DE COTEGIPE;0;0;0;4;0;0;0;0;2;0;1;1;0;0;0
BARAO DO TRIUNFO;0;0;0;5;3;0;0;0;1;3;0;0;0;0;0
BARRA DO GUARITA;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0
BARRA DO QUARAI;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
BARRA DO RIBEIRO;1;1;0;8;1;0;1;0;5;1;6;1;0;0;1
BARRA DO RIO AZUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARRA FUNDA;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0
BARRACAO;0;0;0;4;0;0;1;0;1;1;0;0;0;0;0
BARROS CASSAL;0;0;0;13;3;1;0;0;1;0;0;0;0;0;0
BENJAMIN CONSTANT DO SUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BENTO GONCALVES;6;6;0;110;1;6;15;3;82;6;27;17;0;0;6
BOA VISTA DAS MISSOES;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO BURICA;0;0;0;1;0;0;0;0;4;1;2;0;0;0;0
BOA VISTA DO CADEADO;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
BOA VISTA DO INCRA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
BOA VISTA DO SUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BOM JESUS;0;0;0;9;0;0;0;0;4;1;4;2;0;0;0
BOM PRINCIPIO;0;0;0;4;0;2;0;0;16;0;5;1;0;0;0
BOM PROGRESSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOM RETIRO DO SUL;0;0;0;8;0;1;1;0;5;1;2;0;0;0;0
BOQUEIRAO DO LEAO;0;0;0;5;0;3;0;0;0;0;0;0;0;0;0
BOSSOROCA;0;0;0;2;1;0;1;0;0;0;4;1;0;0;0
BOZANO;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
